,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_ortho_init,params_sde_sample_freq,params_vf_coef,state
0,0,-244.9337615966797,2022-10-19 12:25:58.401125,2022-10-19 14:00:23.951727,0 days 01:34:25.550602,relu,256,0.4,0.00023178536156933454,1.0,0.9,1.9587139274255435e-05,-2.099667395001986,0.9,20,16,small,False,256,0.14161410795341534,COMPLETE
1,1,2049.16259765625,2022-10-19 14:00:23.951727,2022-10-19 15:26:56.830517,0 days 01:26:32.878790,tanh,64,0.1,0.001163508057781369,0.92,0.999,0.005469059964990472,-1.246702671714218,1.0,10,16,small,True,64,0.5545749717657282,COMPLETE
2,2,3767.7109375,2022-10-19 15:26:56.832556,2022-10-19 16:57:12.924298,0 days 01:30:16.091742,tanh,16,0.2,0.02245488795533004,0.92,0.995,0.0013647642264479798,-2.1431516823112435,2.0,5,8,medium,False,64,0.3914336836587027,COMPLETE
3,3,-9478.7900390625,2022-10-19 16:57:12.924298,2022-10-19 18:23:56.190688,0 days 01:26:43.266390,elu,8,0.2,1.3542723997640085e-07,0.99,0.98,0.023325539737517192,-2.6531088067394113,0.7,1,16,big,False,32,0.08775342335876779,COMPLETE
4,4,-1157.78857421875,2022-10-19 18:23:56.190688,2022-10-19 19:51:20.536867,0 days 01:27:24.346179,tanh,16,0.1,4.419519955668601e-05,0.95,0.9999,0.0057383988565353275,-0.42650464346795314,0.6,10,512,small,False,8,0.24180343185621023,COMPLETE
5,5,306.9299621582031,2022-10-19 19:51:20.538905,2022-10-19 21:21:33.152377,0 days 01:30:12.613472,leaky_relu,128,0.3,0.04756757017634129,0.92,0.995,0.6406459805787815,0.6041005790952632,2.0,5,8,medium,True,64,0.9998447480075017,COMPLETE
6,6,-878.6309814453125,2022-10-19 21:21:33.162439,2022-10-19 21:51:43.529379,0 days 00:30:10.366940,tanh,16,0.2,0.03581594524670479,0.9,0.99,6.446751384899653e-05,-3.9066864524177243,2.0,5,8,medium,False,16,0.5557594847551479,PRUNED
7,7,-727.24853515625,2022-10-19 21:51:43.529379,2022-10-19 22:26:06.471122,0 days 00:34:22.941743,leaky_relu,512,0.2,2.516677616927795e-07,0.98,0.95,0.00028857388319874144,-3.176154471881066,0.3,5,32,medium,False,-1,0.8762266772366623,PRUNED
8,8,-695.975341796875,2022-10-19 22:26:06.473164,2022-10-19 22:52:50.688746,0 days 00:26:44.215582,elu,32,0.4,2.790310577668203e-06,0.8,0.995,0.000521805824082593,-1.2568391687064824,0.5,1,1024,big,True,128,0.4122531759420288,PRUNED
9,9,,2022-10-19 22:52:50.688746,2022-10-19 22:54:53.448997,0 days 00:02:02.760251,relu,16,0.3,0.002034815644975641,0.92,0.995,0.08047199603417429,-0.12658857179215,5.0,20,256,medium,False,64,0.7112045673517474,PRUNED
10,10,-1519.49169921875,2022-10-19 22:54:53.448997,2022-10-19 23:25:01.187517,0 days 00:30:07.738520,tanh,8,0.2,6.311298833648729e-06,0.9,0.95,0.0004873588860322068,-1.8733229963658042,0.8,5,64,medium,True,8,0.3643505832925505,PRUNED
11,11,2371.123291015625,2022-10-19 23:25:01.187517,2022-10-20 00:46:26.075347,0 days 01:21:24.887830,tanh,64,0.1,0.001692730728095064,0.92,0.999,0.0038956365321833352,-1.0109413942025753,1.0,10,128,small,True,64,0.5855119232910801,COMPLETE
12,12,-631.372802734375,2022-10-20 00:46:26.077383,2022-10-20 01:13:30.834001,0 days 00:27:04.756618,tanh,64,0.1,0.006899700186192186,0.92,0.999,0.0014896276998972295,-0.6626510037083209,1.0,10,128,small,True,64,0.6597758486977315,PRUNED
13,13,308.4162902832031,2022-10-20 01:13:30.836039,2022-10-20 02:35:42.873739,0 days 01:22:12.037700,tanh,64,0.1,0.08245976436894879,0.92,0.999,0.038113565132752124,-2.5732006355068555,1.0,10,128,small,True,64,0.28926876604653057,COMPLETE
14,14,-414.5511169433594,2022-10-20 02:35:42.873739,2022-10-20 02:55:50.241884,0 days 00:20:07.368145,tanh,512,0.2,0.00015947113607417065,0.8,0.99,0.00012846121754003122,0.8821515772101307,2.0,5,2048,big,False,128,0.721582108104813,PRUNED
15,15,-4930.9140625,2022-10-20 02:55:50.243919,2022-10-20 03:13:15.864760,0 days 00:17:25.620841,tanh,32,0.1,0.0073149629530673095,1.0,0.9999,0.001648928718024122,-0.988653099110867,0.8,10,8,medium,True,32,0.4568747085049576,PRUNED
16,16,1214.88623046875,2022-10-20 03:13:15.864760,2022-10-20 04:32:45.432259,0 days 01:19:29.567499,relu,128,0.4,0.0006547893822539751,0.99,0.98,0.010655390250257163,-0.003855725274365618,0.9,1,128,small,False,256,0.5988759316797239,COMPLETE
17,17,,2022-10-20 04:32:45.432259,2022-10-20 04:38:04.991383,0 days 00:05:19.559124,elu,256,0.3,0.008922094399384661,0.95,0.9,0.24236359007283223,-1.5886951563554783,0.7,20,64,medium,True,-1,0.01116730110140901,PRUNED
18,18,-509.20849609375,2022-10-20 04:38:04.993423,2022-10-20 04:58:52.086173,0 days 00:20:47.092750,leaky_relu,16,0.2,1.9266596935362688e-08,0.98,0.995,0.0015446972186266856,-2.3178262973722754,0.3,5,512,small,False,16,0.8356418347803432,PRUNED
19,19,-717.39501953125,2022-10-20 04:58:52.088207,2022-10-20 05:12:36.410494,0 days 00:13:44.322287,tanh,64,0.1,9.985879166899448e-06,0.92,0.999,1.3400738359687695e-05,-3.2222074538573464,0.5,10,256,big,True,64,0.2969940640461751,PRUNED
20,20,-553.7640380859375,2022-10-20 05:12:36.410494,2022-10-20 05:33:34.718815,0 days 00:20:58.308321,tanh,64,0.1,7.878198548569604e-05,0.92,0.995,0.014178442446494733,-1.7594078573944876,5.0,5,32,medium,False,64,0.4638510504394956,PRUNED
21,21,-367.47662353515625,2022-10-20 05:33:34.718815,2022-10-20 07:00:44.214039,0 days 01:27:09.495224,tanh,64,0.1,0.0010617607385604167,0.92,0.999,0.006781817363659566,-1.063489176215157,1.0,10,16,small,True,64,0.5847704796193495,COMPLETE
22,22,-1346.2568359375,2022-10-20 07:00:44.222087,2022-10-20 07:20:57.984448,0 days 00:20:13.762361,tanh,64,0.1,0.0023252432712226124,0.92,0.999,0.002603323645134974,-1.4587746589010055,1.0,10,1024,small,True,64,0.5246798280560503,PRUNED
23,23,-696.929931640625,2022-10-20 07:20:57.984448,2022-10-20 07:27:50.238785,0 days 00:06:52.254337,tanh,64,0.1,0.015229563951684535,0.92,0.999,0.07399928290295042,-0.8861009471214825,1.0,10,2048,small,True,64,0.36691639225923334,PRUNED
