,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
0,0,1982.189697265625,2022-11-14 09:53:03.689316,2022-11-14 11:18:15.666242,0 days 01:25:11.976926,<class 'torch.nn.modules.activation.LeakyReLU'>,64,10000,0.05,0.999,0.0018917317273081467,0,-0.5762509164262744,small,0.005,512,COMPLETE
1,1,3716.125,2022-11-14 11:18:15.666242,2022-11-14 12:48:44.254003,0 days 01:30:28.587761,<class 'torch.nn.modules.activation.ReLU'>,128,10000,0.0001,0.9999,0.001217077872911745,10000,-0.2628629913802101,medium,0.01,16,COMPLETE
2,2,,2022-11-14 12:48:44.254003,2022-11-14 12:50:24.923092,0 days 00:01:40.669089,<class 'torch.nn.modules.activation.ReLU'>,16,10000,auto,0.999,0.20263742547270389,1000,-0.8209161999091936,medium,0.001,256,PRUNED
3,3,2405.4560546875,2022-11-14 12:50:24.938727,2022-11-14 14:20:11.481131,0 days 01:29:46.542404,<class 'torch.nn.modules.activation.ReLU'>,64,1000000,0.5,0.9,0.004834813544254239,20000,0.3701866571607271,medium,0.001,512,COMPLETE
4,4,-3776.92529296875,2022-11-14 14:20:11.481131,2022-11-14 15:44:44.968051,0 days 01:24:33.486920,<class 'torch.nn.modules.activation.Tanh'>,32,10000,0.1,0.9999,0.27742595595844344,20000,-0.31058573292768177,small,0.001,32,COMPLETE
5,5,1947.343505859375,2022-11-14 15:44:44.968051,2022-11-14 17:24:45.875896,0 days 01:40:00.907845,<class 'torch.nn.modules.activation.ELU'>,128,100000,0.0001,0.99,1.689553117439307e-05,10000,-3.065738715460843,big,0.01,16,COMPLETE
6,6,1586.57080078125,2022-11-14 17:24:45.875896,2022-11-14 18:11:15.764645,0 days 00:46:29.888749,<class 'torch.nn.modules.activation.ReLU'>,256,100000,0.01,0.9999,0.00044515187317059336,10000,-2.4739665238513737,medium,0.02,16,PRUNED
7,7,2121.56005859375,2022-11-14 18:11:15.764645,2022-11-14 20:12:41.597190,0 days 02:01:25.832545,<class 'torch.nn.modules.activation.LeakyReLU'>,512,1000000,0.0001,0.95,5.617331942221898e-05,10000,0.8992942044814745,big,0.01,64,COMPLETE
8,8,2357.607177734375,2022-11-14 20:12:41.597190,2022-11-14 22:50:15.922559,0 days 02:37:34.325369,<class 'torch.nn.modules.activation.Tanh'>,2048,10000,0.0001,0.995,0.024332688560206577,1000,-1.8048125948196472,medium,0.08,4,COMPLETE
9,9,-4876.8330078125,2022-11-14 22:50:15.922559,2022-11-14 23:16:45.969173,0 days 00:26:30.046614,<class 'torch.nn.modules.activation.ELU'>,1024,10000,auto,0.98,0.00020978415679306055,0,-1.7280608098512926,medium,0.05,128,PRUNED
10,10,359.1628112792969,2022-11-14 23:16:45.969173,2022-11-14 23:45:08.422128,0 days 00:28:22.452955,<class 'torch.nn.modules.activation.ReLU'>,128,100000,0.1,0.9999,0.01941498562666533,10000,-3.846435940384892,small,0.01,8,PRUNED
11,11,1466.2138671875,2022-11-14 23:45:08.430201,2022-11-14 23:59:14.125297,0 days 00:14:05.695096,<class 'torch.nn.modules.activation.ReLU'>,64,1000000,0.5,0.9,0.005107426964762846,20000,0.6452009155443706,medium,0.001,1,PRUNED
12,12,2829.72021484375,2022-11-14 23:59:14.125297,2022-11-15 01:27:22.965822,0 days 01:28:08.840525,<class 'torch.nn.modules.activation.ReLU'>,64,1000000,0.5,0.9,0.0007308185011609556,20000,0.12249441975403369,medium,0.05,512,COMPLETE
13,13,-796.048828125,2022-11-15 01:27:22.965822,2022-11-15 02:57:11.114935,0 days 01:29:48.149113,<class 'torch.nn.modules.activation.ReLU'>,128,1000000,0.5,0.9,0.0005127832549307153,20000,-0.13343855297425877,medium,0.05,16,COMPLETE
14,14,-1576.14990234375,2022-11-15 02:57:11.114935,2022-11-15 03:15:44.465915,0 days 00:18:33.350980,<class 'torch.nn.modules.activation.ReLU'>,2048,1000000,0.01,0.995,9.825624370163667e-05,20000,-1.1789027121660471,medium,0.05,512,PRUNED
15,15,-1132.437255859375,2022-11-15 03:15:44.465915,2022-11-15 03:49:07.761786,0 days 00:33:23.295871,<class 'torch.nn.modules.activation.ReLU'>,256,10000,0.05,0.99,0.0013964026414295637,10000,0.07143974252624102,big,0.08,1,PRUNED
16,16,1712.4256591796875,2022-11-15 03:49:07.761786,2022-11-15 04:17:43.018485,0 days 00:28:35.256699,<class 'torch.nn.modules.activation.Tanh'>,16,1000000,0.0001,0.95,0.026366235752918098,1000,-1.0361880605029032,medium,0.005,32,PRUNED
17,17,1274.13330078125,2022-11-15 04:17:43.026526,2022-11-15 04:32:14.949987,0 days 00:14:31.923461,<class 'torch.nn.modules.activation.LeakyReLU'>,32,10000,0.5,0.98,4.244993915818801e-05,0,0.27610863247352496,medium,0.02,256,PRUNED
18,18,958.7141723632812,2022-11-15 04:32:14.949987,2022-11-15 04:47:53.691069,0 days 00:15:38.741082,<class 'torch.nn.modules.activation.ELU'>,1024,1000000,0.0001,0.9,0.0006144928588146341,10000,-0.22321647604392436,small,0.01,128,PRUNED
19,19,1660.491455078125,2022-11-15 04:47:53.691069,2022-11-15 05:03:31.970450,0 days 00:15:38.279381,<class 'torch.nn.modules.activation.ReLU'>,512,100000,0.5,0.9999,0.010266038066279504,20000,0.9372487962816054,big,0.05,4,PRUNED
20,20,-5414.00244140625,2022-11-15 05:03:31.970450,2022-11-15 05:17:47.812735,0 days 00:14:15.842285,<class 'torch.nn.modules.activation.ReLU'>,128,1000000,0.05,0.9999,0.08991464312198193,20000,-2.068507773205508,medium,0.05,64,PRUNED
21,21,1540.110107421875,2022-11-15 05:17:47.812735,2022-11-15 05:46:45.023580,0 days 00:28:57.210845,<class 'torch.nn.modules.activation.ReLU'>,64,1000000,0.5,0.9,0.003452384315305521,20000,0.2080929362385927,medium,0.001,512,PRUNED
22,22,503.7821960449219,2022-11-15 05:46:45.031630,2022-11-15 06:00:44.943568,0 days 00:13:59.911938,<class 'torch.nn.modules.activation.ReLU'>,64,1000000,0.5,0.9,0.0011520600758974477,20000,0.5207921449268388,medium,0.001,512,PRUNED
23,23,-386.2586669921875,2022-11-15 06:00:44.951620,2022-11-15 06:14:44.959328,0 days 00:14:00.007708,<class 'torch.nn.modules.activation.ReLU'>,64,1000000,0.5,0.9,0.006314765719379759,20000,-0.44020295158427203,medium,0.01,512,PRUNED
24,24,-3989.06201171875,2022-11-15 06:14:44.961362,2022-11-15 06:28:57.828583,0 days 00:14:12.867221,<class 'torch.nn.modules.activation.ReLU'>,64,1000000,0.5,0.9,0.9161383543329988,20000,-1.2821248413971422,medium,0.08,8,PRUNED
25,25,-2827.546142578125,2022-11-15 06:28:57.828583,2022-11-15 06:43:25.409412,0 days 00:14:27.580829,<class 'torch.nn.modules.activation.ReLU'>,64,10000,auto,0.9,0.0001886771084551452,10000,-0.7024678133814024,medium,0.02,16,PRUNED
26,26,2288.028564453125,2022-11-15 06:43:25.409412,2022-11-15 07:13:20.628279,0 days 00:29:55.218867,<class 'torch.nn.modules.activation.Tanh'>,128,1000000,0.1,0.98,0.002362855414733801,1000,0.460350759922926,medium,0.005,512,PRUNED
27,27,-380.22564697265625,2022-11-15 07:13:20.630323,2022-11-15 07:27:42.179713,0 days 00:14:21.549390,<class 'torch.nn.modules.activation.ELU'>,64,100000,0.01,0.95,0.0008865530109928308,0,0.07726639518558104,small,0.05,512,PRUNED
28,28,333.15557861328125,2022-11-15 07:27:42.179713,2022-11-15 07:47:28.485367,0 days 00:19:46.305654,<class 'torch.nn.modules.activation.LeakyReLU'>,2048,1000000,0.0001,0.995,0.000210364091498953,20000,0.9571689945957339,medium,0.001,16,PRUNED
29,29,-6881.0361328125,2022-11-15 07:47:28.487400,2022-11-15 08:02:27.642865,0 days 00:14:59.155465,<class 'torch.nn.modules.activation.LeakyReLU'>,64,10000,0.05,0.999,0.011571650276974184,0,-0.5760935669254221,big,0.01,512,PRUNED
30,30,-3197.136962890625,2022-11-15 08:02:27.642865,2022-11-15 09:34:18.098492,0 days 01:31:50.455627,<class 'torch.nn.modules.activation.ReLU'>,1024,10000,0.5,0.99,0.0680831316409418,10000,0.47157359323041503,small,0.005,512,COMPLETE
31,31,1347.47998046875,2022-11-15 09:34:18.098492,2022-11-15 10:00:05.451983,0 days 00:25:47.353491,<class 'torch.nn.modules.activation.Tanh'>,2048,10000,0.0001,0.995,0.002315826083778336,1000,-1.6405822064032114,medium,0.08,4,PRUNED
32,32,-2997.958740234375,2022-11-15 10:00:05.451983,2022-11-15 12:42:08.370845,0 days 02:42:02.918862,<class 'torch.nn.modules.activation.Tanh'>,2048,10000,0.0001,0.995,0.03389451338004645,1000,-2.279449941481267,medium,0.08,4,COMPLETE
33,33,3866.79736328125,2022-11-15 12:42:08.370845,2022-11-15 14:10:57.946891,0 days 01:28:49.576046,<class 'torch.nn.modules.activation.Tanh'>,16,10000,0.0001,0.999,0.006248101902097025,1000,-0.814760760421839,medium,0.08,4,COMPLETE
34,34,1848.571044921875,2022-11-15 14:10:57.946891,2022-11-15 14:25:18.745737,0 days 00:14:20.798846,<class 'torch.nn.modules.activation.Tanh'>,16,10000,0.0001,0.999,0.005726205485526598,1000,-0.9345262965346799,medium,0.001,256,PRUNED
35,35,-1812.1011962890625,2022-11-15 14:25:18.745737,2022-11-15 14:39:41.284528,0 days 00:14:22.538791,<class 'torch.nn.modules.activation.Tanh'>,16,10000,auto,0.999,0.0020941541900674184,1000,-0.16717734586328092,medium,0.08,32,PRUNED
36,36,1050.0775146484375,2022-11-15 14:39:41.284528,2022-11-15 14:53:34.524553,0 days 00:13:53.240025,<class 'torch.nn.modules.activation.ReLU'>,16,10000,0.1,0.999,0.00035604943263506335,20000,-0.7464222734001253,medium,0.01,4,PRUNED
37,37,2275.5224609375,2022-11-15 14:53:34.524553,2022-11-15 15:08:08.714282,0 days 00:14:34.189729,<class 'torch.nn.modules.activation.ELU'>,32,100000,0.0001,0.9999,0.0011763084378874145,10000,-0.41655787281577217,big,0.001,16,PRUNED
