,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
0,0,-8018.68603515625,2022-11-10 08:00:34.333860,2022-11-10 09:24:14.481604,0 days 01:23:40.147744,<class 'torch.nn.modules.activation.LeakyReLU'>,32,10000,0.9,0.3419578994532826,small,0.5183659298887061,,0.001,64,COMPLETE
1,1,2943.161376953125,2022-11-10 09:24:14.483645,2022-11-10 10:48:43.204195,0 days 01:24:28.720550,<class 'torch.nn.modules.activation.ReLU'>,256,100000,0.99,0.0007644502108931508,small,0.48194628309247534,,0.05,32,COMPLETE
2,2,706.71337890625,2022-11-10 10:48:43.204195,2022-11-10 14:42:42.864728,0 days 03:53:59.660533,<class 'torch.nn.modules.activation.ELU'>,2048,1000000,0.995,7.335186867985851e-05,big,0.6546114950503024,normal,0.01,256,COMPLETE
3,3,3353.695068359375,2022-11-10 14:42:42.864728,2022-11-10 16:19:05.982858,0 days 01:36:23.118130,<class 'torch.nn.modules.activation.LeakyReLU'>,2048,1000000,0.99,1.501054027226402e-05,small,0.43414076039886307,ornstein-uhlenbeck,0.01,4,COMPLETE
4,4,3212.482666015625,2022-11-10 16:19:05.982858,2022-11-10 18:33:51.637493,0 days 02:14:45.654635,<class 'torch.nn.modules.activation.ReLU'>,2048,1000000,0.95,0.0001548600202550126,medium,0.9532984003880419,,0.05,512,COMPLETE
5,5,-6294.4873046875,2022-11-10 18:33:51.645531,2022-11-10 18:48:07.117709,0 days 00:14:15.472178,<class 'torch.nn.modules.activation.LeakyReLU'>,64,1000000,0.999,0.09054579082144203,small,0.035676888353860625,ornstein-uhlenbeck,0.01,4,PRUNED
6,6,-1276.258544921875,2022-11-10 18:48:07.117709,2022-11-10 19:24:26.310195,0 days 00:36:19.192486,<class 'torch.nn.modules.activation.Tanh'>,1024,100000,0.99,1.1958024928430139e-05,medium,0.17173636554340932,ornstein-uhlenbeck,0.02,4,PRUNED
7,7,-2729.55126953125,2022-11-10 19:24:26.310195,2022-11-10 19:38:48.997314,0 days 00:14:22.687119,<class 'torch.nn.modules.activation.LeakyReLU'>,16,10000,0.9999,0.02632409568983947,big,0.29350601183600245,ornstein-uhlenbeck,0.08,128,PRUNED
8,8,1106.8450927734375,2022-11-10 19:38:48.999347,2022-11-10 20:07:09.375931,0 days 00:28:20.376584,<class 'torch.nn.modules.activation.ELU'>,128,1000000,0.98,0.0026834394022516948,small,0.7897918880636282,normal,0.005,8,PRUNED
9,9,-2817.91943359375,2022-11-10 20:07:09.377965,2022-11-10 20:35:51.592025,0 days 00:28:42.214060,<class 'torch.nn.modules.activation.Tanh'>,512,1000000,0.99,1.3653264007677835e-05,small,0.3563149339301629,ornstein-uhlenbeck,0.01,16,PRUNED
10,10,1009.4036865234375,2022-11-10 20:35:51.592025,2022-11-10 21:05:13.309104,0 days 00:29:21.717079,<class 'torch.nn.modules.activation.LeakyReLU'>,100,100000,0.9,0.006910659969566678,medium,0.684991531294257,ornstein-uhlenbeck,0.005,4,PRUNED
11,11,-1462.907958984375,2022-11-10 21:05:13.309104,2022-11-10 21:26:21.307419,0 days 00:21:07.998315,<class 'torch.nn.modules.activation.ReLU'>,2048,1000000,0.95,0.00015559800104530914,medium,0.98962526454188,,0.05,512,PRUNED
12,12,2146.470947265625,2022-11-10 21:26:21.309460,2022-11-10 22:11:26.398732,0 days 00:45:05.089272,<class 'torch.nn.modules.activation.ReLU'>,2048,1000000,0.95,0.0001229759875463785,medium,0.9212185380884916,,0.05,1,PRUNED
13,13,-4137.986328125,2022-11-10 22:11:26.406774,2022-11-10 22:32:28.616754,0 days 00:21:02.209980,<class 'torch.nn.modules.activation.ReLU'>,2048,1000000,0.95,0.0004348968576288825,medium,0.4848977591578317,,0.08,512,PRUNED
14,14,270.9735107421875,2022-11-10 22:32:28.618796,2022-11-10 23:14:29.532497,0 days 00:42:00.913701,<class 'torch.nn.modules.activation.LeakyReLU'>,2048,1000000,0.999,2.6248719563180298e-05,big,0.79352945802471,normal,0.02,512,PRUNED
15,15,1127.131103515625,2022-11-10 23:14:29.532497,2022-11-10 23:42:35.910154,0 days 00:28:06.377657,<class 'torch.nn.modules.activation.ReLU'>,128,10000,0.98,0.0007323373120822103,small,0.30080448073871857,ornstein-uhlenbeck,0.001,1,PRUNED
16,16,1628.33935546875,2022-11-10 23:42:35.910154,2022-11-11 01:08:30.286696,0 days 01:25:54.376542,<class 'torch.nn.modules.activation.ELU'>,32,1000000,0.9999,4.025475530018357e-05,medium,0.6432868658826568,,0.01,64,COMPLETE
17,17,2024.5308837890625,2022-11-11 01:08:30.286696,2022-11-11 01:43:44.466529,0 days 00:35:14.179833,<class 'torch.nn.modules.activation.Tanh'>,256,1000000,0.995,0.00025308121572941106,small,0.8440791787917952,ornstein-uhlenbeck,0.05,128,PRUNED
18,18,4385.52197265625,2022-11-11 01:43:44.468565,2022-11-11 03:40:56.879804,0 days 01:57:12.411239,<class 'torch.nn.modules.activation.LeakyReLU'>,1024,100000,0.95,0.0022882963659741056,medium,0.3944168505086878,,0.01,256,COMPLETE
