time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/approx_kl,train/value_loss,train/explained_variance,train/n_updates,train/clip_range,train/loss,train/policy_gradient_loss,train/std,train/clip_fraction,train/entropy_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
1,42,64,1,,,,,,,,,,,,,
3,40,128,2,67.46109,3842.6189575195312,0.0005036592483520508,5,0.2,1147.322021484375,0.17062005596235394,0.11767232418060303,0.921875,7.949821829795837,0.0013647642264479798,,
4,39,192,3,30.285812,1048.715036010742,-0.0029299259185791016,10,0.2,239.0609588623047,0.18800573125481607,0.11808030307292938,0.90625,7.9126976251602175,0.0013647642264479798,,
6,37,256,4,203.5909,1023.3199737548828,0.24257999658584595,15,0.2,258.49566650390625,0.30700041390955446,0.1184450313448906,0.946875,7.876707434654236,0.0013647642264479798,,
8,35,320,5,282.2381,979.44736328125,0.42405951023101807,20,0.2,348.09918212890625,0.3088167026638985,0.11887435615062714,0.940625,7.838487386703491,0.0013647642264479798,,
10,34,384,6,317.96002,823.4430587768554,0.628444105386734,25,0.2,278.2884826660156,0.30702581219375136,0.11922231316566467,0.95,7.804958486557007,0.0013647642264479798,,
13,34,448,7,249.31235,918.2922622680665,-0.2987649440765381,30,0.2,173.6983642578125,0.3095244560390711,0.11957751959562302,0.940625,7.771776294708252,0.0013647642264479798,,
15,33,512,8,191.67245,1368.91376953125,0.0026268959045410156,35,0.2,428.837890625,0.2957008774392307,0.1199449971318245,0.94375,7.737648344039917,0.0013647642264479798,,
17,33,576,9,777.7517,716.6838500976562,-0.0005184412002563477,40,0.2,131.82876586914062,0.3169786846265197,0.12034618109464645,0.95,7.7052820205688475,0.0013647642264479798,,
19,33,640,10,1941.325,192.7510585784912,0.0014969706535339355,45,0.2,32.76152801513672,0.2889211788773537,0.12225997447967529,0.95,7.610555958747864,0.0013647642264479798,,
21,32,704,11,1238.6729,169.91966552734374,0.4133397340774536,50,0.2,8.922741889953613,0.2940744787454605,0.12363185733556747,0.946875,7.4552630424499515,0.0013647642264479798,,
23,32,768,12,2056.284,825.1687881469727,-0.1319739818572998,55,0.2,195.40628051757812,0.28841361626982687,0.12474164366722107,0.95,7.331806302070618,0.0013647642264479798,96.0,-399.55127
25,32,832,13,2539.3904,1718.1886268615722,0.04521232843399048,60,0.2,149.7038116455078,0.4225905092433095,0.12488284707069397,0.946875,7.284711813926696,0.0013647642264479798,96.0,-399.55127
27,32,896,14,502.87863,3902.7117141723634,-0.43302106857299805,65,0.2,1393.2177734375,0.35243252515792844,0.1251707673072815,0.93125,7.2703893184661865,0.0013647642264479798,96.0,-399.55127
29,32,960,15,135.4587,96.72484197616578,-1.487633228302002,70,0.2,4.396726608276367,0.2694342775270343,0.12731188535690308,0.95,7.197590160369873,0.0013647642264479798,96.0,-399.55127
31,32,1024,16,723.4053,820.8241209030151,-0.06500661373138428,75,0.2,17.816146850585938,0.3057031845673919,0.1291338950395584,0.95,6.973711228370666,0.0013647642264479798,96.0,-399.55127
34,31,1088,17,1303.3794,1234.1966522216796,0.0006679892539978027,80,0.2,493.2476501464844,0.30970290303230286,0.1296829730272293,0.95,6.886570024490356,0.0013647642264479798,96.0,-399.55127
36,31,1152,18,1275.0627,29.92127435207367,0.6095832288265228,85,0.2,4.982789039611816,0.2994283089414239,0.1319364607334137,0.95,6.813757729530335,0.0013647642264479798,96.0,-399.55127
38,31,1216,19,316.19153,196.5921588897705,0.13013774156570435,90,0.2,45.80746078491211,0.3067766800522804,0.13445240259170532,0.95,6.556764411926269,0.0013647642264479798,96.0,-399.55127
40,31,1280,20,501.36844,194.0501625061035,-5.785218238830566,95,0.2,17.64816665649414,0.36451676301658154,0.13625703752040863,0.940625,6.402026748657226,0.0013647642264479798,96.0,-399.55127
42,31,1344,21,5600.653,15.596070635318757,0.3133700489997864,100,0.2,2.905212879180908,0.2980563976801932,0.1404595971107483,0.95,6.212608575820923,0.0013647642264479798,96.0,-399.55127
43,32,1408,22,1423.6465,141.95340003967286,0.30340147018432617,105,0.2,35.535911560058594,0.31624584533274175,0.14410850405693054,0.95,5.822008013725281,0.0013647642264479798,96.0,-399.55127
45,32,1472,23,481.43884,370.38015403747556,-3.06137752532959,110,0.2,51.91697692871094,0.3265285141766071,0.14525102078914642,0.94375,5.661099052429199,0.0013647642264479798,96.0,-399.55127
47,32,1536,24,501.7644,411.22934913635254,-0.5091367959976196,115,0.2,38.25382614135742,0.30538788344711065,0.14623484015464783,0.95,5.592586469650269,0.0013647642264479798,96.0,-299.6324
48,32,1600,25,1978.613,288.40099334716797,0.15059077739715576,120,0.2,53.47568130493164,0.3150303788483143,0.14742116630077362,0.95,5.501647806167602,0.0013647642264479798,96.0,-299.6324
50,32,1664,26,98.18477,2603.1647766113283,0.33603060245513916,125,0.2,682.0691528320312,0.2997498713433743,0.14801819622516632,0.95,5.434032440185547,0.0013647642264479798,96.0,-299.6324
52,32,1728,27,74.76929,725.1150733947754,-5.284339904785156,130,0.2,16.011512756347656,0.31914511136710644,0.1483752429485321,0.93125,5.40337188243866,0.0013647642264479798,96.0,-299.6324
54,32,1792,28,4284.3677,108.06663527488709,0.7203955948352814,135,0.2,2.5440266132354736,0.34603885021060704,0.14931809902191162,0.95,5.3617332696914675,0.0013647642264479798,96.0,-299.6324
56,32,1856,29,1099.8901,1030.3996660232544,-3.747196674346924,140,0.2,15.06467056274414,0.3658547755330801,0.15058225393295288,0.946875,5.270379877090454,0.0013647642264479798,96.0,-299.6324
58,32,1920,30,270.92017,659.3704315185547,-0.34769368171691895,145,0.2,92.69664001464844,0.29507988691329956,0.1514558345079422,0.95,5.191549277305603,0.0013647642264479798,96.0,-299.6324
60,32,1984,31,418.49356,1942.058341217041,-1.8832664489746094,150,0.2,141.20465087890625,0.35955603048205376,0.1521528661251068,0.91875,5.139312076568603,0.0013647642264479798,96.0,-299.6324
63,32,2048,32,170.00818,412.85107574462893,0.8139649480581284,155,0.2,88.39617156982422,0.2983163634315133,0.15300381183624268,0.95,5.084284162521362,0.0013647642264479798,96.0,-299.6324
65,32,2112,33,1184.1262,323.3717342376709,0.5818451046943665,160,0.2,37.64044952392578,0.3067955240607262,0.15382668375968933,0.95,5.021522378921508,0.0013647642264479798,96.0,-299.6324
67,32,2176,34,1552.524,200.25045375823976,0.13354963064193726,165,0.2,17.379854202270508,0.2635856032371521,0.1546199768781662,0.95,4.967450904846191,0.0013647642264479798,96.0,-299.6324
69,32,2240,35,4465.2217,64.13766403198242,0.7668300420045853,170,0.2,8.176740646362305,0.2902896208688617,0.15671853721141815,0.95,4.867061305046081,0.0013647642264479798,96.0,-299.6324
71,32,2304,36,969.6134,220.88086605072021,0.5298936665058136,175,0.2,15.133962631225586,0.27351745441555975,0.15845294296741486,0.94375,4.72407386302948,0.0013647642264479798,96.0,-280.68445
73,32,2368,37,162.74915,887.1822280883789,-7.702730178833008,180,0.2,48.55644226074219,0.31347673423588274,0.15938979387283325,0.940625,4.634077954292297,0.0013647642264479798,96.0,-280.68445
