rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,time/episodes,train/actor_loss,train/n_updates,train/critic_loss,train/learning_rate
653.8607,768,18,96.0,41,4,,,,
653.8607,768,18,96.0,41,8,,,,
637.0752,1536,36,96.0,41,12,,,,
637.0752,1536,36,96.0,41,16,,,,
566.0442,2304,140,96.0,16,20,-662.1818165177829,2048,1428.1144967228174,0.0022882963659741056
566.0442,2304,140,96.0,16,24,,,,
-1218.4219,3072,158,96.0,19,28,,,,
-1218.4219,3072,158,96.0,19,32,,,,
-2272.028,3840,177,96.0,21,36,,,,
-2272.028,3840,177,96.0,21,40,,,,
-2391.753,4608,281,96.0,16,44,-2714.372709274292,4096,33062.15721273422,0.0022882963659741056
-2391.753,4608,281,96.0,16,48,,,,
-1984.1964,5376,300,96.0,17,52,,,,
-1984.1964,5376,300,96.0,17,56,,,,
-1680.555,6144,318,96.0,19,60,,,,
-1680.555,6144,318,96.0,19,64,,,,
-1440.7242,6912,424,96.0,16,68,-1697.9256087094545,6144,116790.34060668945,0.0022882963659741056
-1440.7242,6912,424,96.0,16,72,,,,
-1260.5662,7680,443,96.0,17,76,,,,
-1260.5662,7680,443,96.0,17,80,,,,
-1108.9033,8448,550,96.0,15,84,528.3399467598647,8192,111008.95286369324,0.0022882963659741056
-1108.9033,8448,550,96.0,15,88,,,,
-975.6652,9216,569,96.0,16,92,,,,
-975.6652,9216,569,96.0,16,96,,,,
-922.65234,9984,588,96.0,16,100,,,,
-922.65234,9984,588,96.0,16,104,,,,
-936.3485,10752,696,96.0,15,108,1453.8565681576729,10240,103223.10406684875,0.0022882963659741056
-936.3485,10752,696,96.0,15,112,,,,
-946.0558,11520,714,96.0,16,116,,,,
-946.0558,11520,714,96.0,16,120,,,,
-664.1035,12288,733,96.0,16,124,,,,
-664.1035,12288,733,96.0,16,128,,,,
-114.54284,13056,840,96.0,15,132,1332.5349432826042,12288,61810.98004627228,0.0022882963659741056
-114.54284,13056,840,96.0,15,136,,,,
296.50317,13824,859,96.0,16,140,,,,
296.50317,13824,859,96.0,16,144,,,,
428.55362,14592,966,96.0,15,148,743.5993064343929,14336,26072.39847803116,0.0022882963659741056
428.55362,14592,966,96.0,15,152,,,,
426.03336,15360,984,96.0,15,156,,,,
426.03336,15360,984,96.0,15,160,,,,
430.15457,16128,1003,96.0,16,164,,,,
430.15457,16128,1003,96.0,16,168,,,,
422.02847,16896,1111,96.0,15,172,428.66892352700233,16384,16799.81451535225,0.0022882963659741056
422.02847,16896,1111,96.0,15,176,,,,
