,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_ortho_init,params_sde_sample_freq,params_vf_coef,state
0,0,-11013.3505859375,2022-10-30 15:51:08.503898,2022-10-30 17:23:12.744339,0 days 01:32:04.240441,leaky_relu,64,0.3,5.128704295697632e-06,0.99,0.995,0.03167937434925594,-3.6028044769531355,2.0,20,32,medium,False,32,0.031016846004472964,COMPLETE
1,1,,2022-10-30 17:23:12.744339,2022-10-30 17:26:20.537847,0 days 00:03:07.793508,tanh,16,0.1,5.3026029558282786e-05,0.9,0.9,0.9087111066560072,0.1670670155265297,0.7,10,256,big,False,16,0.32078137597290535,PRUNED
2,2,-4065.11474609375,2022-10-30 17:26:20.539886,2022-10-30 19:16:21.554346,0 days 01:50:01.014460,tanh,8,0.3,1.5730850102813414e-06,0.8,0.9999,0.15645212999508104,-3.1852370737709905,0.8,5,1024,medium,False,32,0.3706443404571792,COMPLETE
3,3,-349.1944274902344,2022-10-30 19:16:21.554346,2022-10-30 20:37:46.166841,0 days 01:21:24.612495,tanh,512,0.1,0.01343796913908071,0.92,0.9999,1.106705872878705e-05,0.3033338677584414,0.7,5,1024,big,True,-1,0.5624301424918731,COMPLETE
4,4,-4675.14453125,2022-10-30 20:37:46.174889,2022-10-30 21:59:05.696439,0 days 01:21:19.521550,elu,256,0.2,1.7296339351788829e-06,0.8,0.995,0.04246676319576605,-3.6001791589593815,2.0,1,2048,big,False,128,0.926107216221394,COMPLETE
5,5,-461.178955078125,2022-10-30 21:59:05.696439,2022-10-30 23:19:46.971147,0 days 01:20:41.274708,relu,512,0.4,0.08722631142573715,0.92,0.98,1.2706231270722733e-05,0.5319764228661535,0.7,5,1024,small,True,-1,0.8251737560074182,COMPLETE
6,6,-417.3426513671875,2022-10-30 23:19:46.979180,2022-10-31 00:46:55.068101,0 days 01:27:08.088921,tanh,512,0.1,0.033751375806026454,0.95,0.9999,1.3095870292945961e-05,-0.759432981310108,0.5,5,16,big,True,-1,0.6241136824719207,COMPLETE
7,7,683.7702026367188,2022-10-31 00:46:55.070135,2022-10-31 02:37:26.615534,0 days 01:50:31.545399,leaky_relu,32,0.1,0.0007512832245090932,1.0,0.99,0.0005247069655424713,-1.7424286234454205,0.6,20,8,small,True,256,0.6064568677651117,COMPLETE
8,8,79.87503051757812,2022-10-31 02:37:26.615534,2022-10-31 04:28:28.276203,0 days 01:51:01.660669,leaky_relu,32,0.4,1.863675250464127e-08,1.0,0.99,0.0005536812484762745,-1.7878212325530798,0.6,20,8,small,True,256,0.7237894671534849,COMPLETE
9,9,643.1846923828125,2022-10-31 04:28:28.276203,2022-10-31 06:19:01.233096,0 days 01:50:32.956893,leaky_relu,128,0.2,0.0005008718570831516,0.98,0.95,0.0004971332579300225,-1.9728986908125106,0.6,20,8,small,True,64,0.10180476330888372,COMPLETE
10,10,-709.5897827148438,2022-10-31 06:19:01.241129,2022-10-31 06:32:25.621475,0 days 00:13:24.380346,elu,32,0.1,0.0009100207785906733,1.0,0.99,0.001966333046958574,-2.4968400325675892,0.9,1,512,small,True,256,0.40282488329368965,PRUNED
11,11,311.93096923828125,2022-10-31 06:32:25.621475,2022-10-31 08:23:23.781576,0 days 01:50:58.160101,leaky_relu,128,0.2,0.0006630070215259306,0.98,0.95,0.00029919993821566975,-1.2889125328112252,0.6,20,8,small,True,64,0.05400565830966832,COMPLETE
