,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
0,0,,2022-11-20 16:09:16.872372,2022-11-20 16:21:51.542627,0 days 00:12:34.670255,<class 'torch.nn.modules.activation.ELU'>,1024,100000,auto,0.999,0.11227340555716309,10000,-0.2629227589383607,big,0.08,8,PRUNED
1,1,2156.78955078125,2022-11-20 16:21:51.550679,2022-11-20 22:06:02.337239,0 days 05:44:10.786560,<class 'torch.nn.modules.activation.ELU'>,2048,100000,0.01,0.98,0.0016174122696161997,1000,-1.8880536556832652,big,0.005,16,COMPLETE
2,2,-6099.46044921875,2022-11-20 22:06:02.337239,2022-11-20 23:36:04.015792,0 days 01:30:01.678553,<class 'torch.nn.modules.activation.LeakyReLU'>,32,1000000,0.1,0.99,0.42654523447983334,20000,-0.1677346762107228,medium,0.001,512,COMPLETE
3,3,132.2877197265625,2022-11-20 23:36:04.015792,2022-11-21 01:05:08.372769,0 days 01:29:04.356977,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.01,0.9,3.061250758737234e-05,20000,0.10607216016263088,small,0.01,32,COMPLETE
4,4,-4273.947265625,2022-11-21 01:05:08.372769,2022-11-21 02:58:25.650167,0 days 01:53:17.277398,<class 'torch.nn.modules.activation.ELU'>,2048,10000,0.01,0.9,2.6078781072076635e-05,1000,-0.2143887186399005,small,0.001,1,COMPLETE
5,5,18.857986450195312,2022-11-21 02:58:25.652217,2022-11-21 04:31:27.478855,0 days 01:33:01.826638,<class 'torch.nn.modules.activation.Tanh'>,128,100000,0.05,0.98,0.002293533656580023,0,-3.3165121693455486,big,0.005,16,COMPLETE
6,6,-1166.23583984375,2022-11-21 04:31:27.478855,2022-11-21 06:15:40.246062,0 days 01:44:12.767207,<class 'torch.nn.modules.activation.ReLU'>,256,10000,0.5,0.95,0.002091080862182057,1000,-2.3753390787136235,big,0.05,16,COMPLETE
7,7,-5245.8037109375,2022-11-21 06:15:40.248099,2022-11-21 06:30:40.972540,0 days 00:15:00.724441,<class 'torch.nn.modules.activation.ELU'>,16,1000000,0.0001,0.995,0.021152823062480085,1000,-1.8558198629446792,medium,0.005,4,PRUNED
8,8,-3245.77001953125,2022-11-21 06:30:40.980583,2022-11-21 06:45:37.949919,0 days 00:14:56.969336,<class 'torch.nn.modules.activation.Tanh'>,64,100000,0.01,0.98,0.0003389210033712424,0,-3.8900919736721575,big,0.02,128,PRUNED
9,9,-1221.283935546875,2022-11-21 06:45:37.949919,2022-11-21 09:03:42.974474,0 days 02:18:05.024555,<class 'torch.nn.modules.activation.ReLU'>,2048,100000,0.05,0.9999,0.0003053529514555151,10000,-1.3759061554369731,big,0.005,64,PRUNED
10,10,-2472.267578125,2022-11-21 09:03:42.974474,2022-11-21 09:25:13.494577,0 days 00:21:30.520103,<class 'torch.nn.modules.activation.ELU'>,2048,10000,0.5,0.98,0.016143527218788062,1000,0.9747950475236284,small,0.02,256,PRUNED
11,11,-1756.4482421875,2022-11-21 09:25:13.494577,2022-11-21 09:46:59.549822,0 days 00:21:46.055245,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.01,0.9,1.222276187006355e-05,20000,-1.0771899563789509,small,0.01,32,PRUNED
12,12,-767.087890625,2022-11-21 09:46:59.549822,2022-11-21 10:09:12.796799,0 days 00:22:13.246977,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.01,0.9,8.705287312963061e-05,20000,0.9727225345479105,small,0.01,32,PRUNED
13,13,-5415.8544921875,2022-11-21 10:09:12.796799,2022-11-21 10:23:30.057946,0 days 00:14:17.261147,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.01,0.9999,0.0003386425987557427,20000,-2.667118027355043,small,0.01,32,PRUNED
14,14,-5856.11767578125,2022-11-21 10:23:30.057946,2022-11-21 11:55:55.887143,0 days 01:32:25.829197,<class 'torch.nn.modules.activation.LeakyReLU'>,128,100000,0.1,0.99,6.746140389270443e-05,1000,-0.8292081006196543,medium,0.08,16,COMPLETE
15,15,-5219.8984375,2022-11-21 11:55:55.887143,2022-11-21 12:31:51.685378,0 days 00:35:55.798235,<class 'torch.nn.modules.activation.ELU'>,32,1000000,auto,0.995,0.009440818740974683,20000,-2.070312157844791,big,0.05,512,PRUNED
16,16,-3190.697021484375,2022-11-21 12:31:51.687421,2022-11-21 12:46:25.623445,0 days 00:14:33.936024,<class 'torch.nn.modules.activation.Tanh'>,256,100000,0.0001,0.999,0.0008659562662823672,0,0.38474850271019695,small,0.005,8,PRUNED
17,17,-7591.513671875,2022-11-21 12:46:25.625491,2022-11-21 13:08:13.240284,0 days 00:21:47.614793,<class 'torch.nn.modules.activation.ReLU'>,1024,100000,0.01,0.95,0.0948841109440381,10000,-2.7403905703161895,big,0.01,128,PRUNED
18,18,-4716.314453125,2022-11-21 13:08:13.240284,2022-11-21 13:22:32.716450,0 days 00:14:19.476166,<class 'torch.nn.modules.activation.LeakyReLU'>,16,10000,0.01,0.9,9.572800964377862e-05,1000,-0.8980821382678694,small,0.005,64,PRUNED
19,19,-4512.47509765625,2022-11-21 13:22:32.716450,2022-11-21 16:51:00.989678,0 days 03:28:28.273228,<class 'torch.nn.modules.activation.ELU'>,2048,1000000,0.01,0.98,1.1423834551140153e-05,20000,-1.6425868805107045,medium,0.01,1,COMPLETE
20,20,604.8189697265625,2022-11-21 16:51:00.991721,2022-11-21 18:23:26.042207,0 days 01:32:25.050486,<class 'torch.nn.modules.activation.LeakyReLU'>,64,100000,0.1,0.9,0.005485359158006373,1000,0.39231919126851,big,0.08,256,COMPLETE
