,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
0,0,1759.93896484375,2022-11-16 22:51:40.246764,2022-11-17 00:23:13.169153,0 days 01:31:32.922389,<class 'torch.nn.modules.activation.Tanh'>,2048,1000000,0.9999,0.18039643342731015,small,0.6416903838610054,ornstein-uhlenbeck,0.02,64,COMPLETE
1,1,-4401.5947265625,2022-11-17 00:23:13.169153,2022-11-17 01:50:10.878531,0 days 01:26:57.709378,<class 'torch.nn.modules.activation.LeakyReLU'>,32,100000,0.99,0.21453082202827228,big,0.6131450343753945,,0.02,1,COMPLETE
2,2,632.1560668945312,2022-11-17 01:50:10.878531,2022-11-17 03:12:36.289304,0 days 01:22:25.410773,<class 'torch.nn.modules.activation.ELU'>,100,100000,0.9999,0.0020652393516527117,small,0.07758738995096937,ornstein-uhlenbeck,0.001,512,COMPLETE
3,3,-3276.335205078125,2022-11-17 03:12:36.289304,2022-11-17 04:39:28.741709,0 days 01:26:52.452405,<class 'torch.nn.modules.activation.Tanh'>,64,10000,0.98,0.013950369341370188,medium,0.9005776170196448,,0.001,64,COMPLETE
4,4,-243.0262451171875,2022-11-17 04:39:28.741709,2022-11-17 06:02:07.276948,0 days 01:22:38.535239,<class 'torch.nn.modules.activation.ReLU'>,100,10000,0.98,0.024152546105544785,small,0.5901488038106382,,0.005,1,COMPLETE
5,5,-2654.033203125,2022-11-17 06:02:07.278997,2022-11-17 07:34:29.678378,0 days 01:32:22.399381,<class 'torch.nn.modules.activation.Tanh'>,2048,1000000,0.9,2.0610944226000157e-05,small,0.1896829774264328,ornstein-uhlenbeck,0.02,64,COMPLETE
6,6,-1969.3486328125,2022-11-17 07:34:29.678378,2022-11-17 07:55:43.550172,0 days 00:21:13.871794,<class 'torch.nn.modules.activation.Tanh'>,2048,1000000,0.995,0.9672903496979046,medium,0.9776039982031932,normal,0.05,256,PRUNED
7,7,2165.849365234375,2022-11-17 07:55:43.550172,2022-11-17 09:19:28.042265,0 days 01:23:44.492093,<class 'torch.nn.modules.activation.LeakyReLU'>,16,1000000,0.999,0.000411676843225975,big,0.3503055201030931,ornstein-uhlenbeck,0.01,32,COMPLETE
8,8,-647.1214599609375,2022-11-17 09:19:28.044300,2022-11-17 10:43:19.973891,0 days 01:23:51.929591,<class 'torch.nn.modules.activation.LeakyReLU'>,16,1000000,0.999,0.00018323393429555573,big,0.31877111967903493,normal,0.01,32,COMPLETE
9,9,1820.038330078125,2022-11-17 10:43:19.973891,2022-11-17 12:18:35.373608,0 days 01:35:15.399717,<class 'torch.nn.modules.activation.LeakyReLU'>,256,1000000,0.95,0.0005136142570540249,big,0.35483564627644015,ornstein-uhlenbeck,0.01,4,COMPLETE
10,10,-965.1674194335938,2022-11-17 12:18:35.375645,2022-11-17 12:32:31.975324,0 days 00:13:56.599679,<class 'torch.nn.modules.activation.ELU'>,16,100000,0.999,1.494087178834346e-05,big,0.44135221485322346,ornstein-uhlenbeck,0.08,32,PRUNED
11,11,1410.98974609375,2022-11-17 12:32:31.975324,2022-11-17 14:07:46.343792,0 days 01:35:14.368468,<class 'torch.nn.modules.activation.LeakyReLU'>,256,1000000,0.95,0.0005107126648530437,big,0.3510003057425888,ornstein-uhlenbeck,0.01,4,COMPLETE
12,12,-369.0158996582031,2022-11-17 14:07:46.343792,2022-11-17 14:23:28.492382,0 days 00:15:42.148590,<class 'torch.nn.modules.activation.LeakyReLU'>,256,1000000,0.95,0.00022280992529367697,big,0.23879135718305514,ornstein-uhlenbeck,0.01,4,PRUNED
13,13,1587.402587890625,2022-11-17 14:23:28.492382,2022-11-17 16:43:28.827769,0 days 02:20:00.335387,<class 'torch.nn.modules.activation.LeakyReLU'>,1024,1000000,0.95,0.0016857431887078074,big,0.005196094521981387,ornstein-uhlenbeck,0.01,128,COMPLETE
14,14,-1450.642822265625,2022-11-17 16:43:28.829806,2022-11-17 17:08:11.052609,0 days 00:24:42.222803,<class 'torch.nn.modules.activation.ReLU'>,512,1000000,0.999,7.191800416801421e-05,big,0.4244005180840838,normal,0.01,16,PRUNED
15,15,-2478.583984375,2022-11-17 17:08:11.052609,2022-11-17 18:37:15.681389,0 days 01:29:04.628780,<class 'torch.nn.modules.activation.LeakyReLU'>,128,10000,0.99,0.0005285706650652521,big,0.7339625380390733,ornstein-uhlenbeck,0.08,8,COMPLETE
16,16,-5132.1748046875,2022-11-17 18:37:15.683426,2022-11-17 18:52:18.318367,0 days 00:15:02.634941,<class 'torch.nn.modules.activation.LeakyReLU'>,256,1000000,0.995,0.008115704680338011,medium,0.1572834822445642,ornstein-uhlenbeck,0.05,4,PRUNED
17,17,1179.0897216796875,2022-11-17 18:52:18.318367,2022-11-17 20:15:53.297662,0 days 01:23:34.979295,<class 'torch.nn.modules.activation.LeakyReLU'>,16,1000000,0.9,8.275860263334715e-05,big,0.29239742712027683,ornstein-uhlenbeck,0.005,32,COMPLETE
18,18,1513.3681640625,2022-11-17 20:15:53.299694,2022-11-17 21:48:33.724350,0 days 01:32:40.424656,<class 'torch.nn.modules.activation.ELU'>,128,100000,0.95,0.0012139363566896178,big,0.46969810313911303,,0.01,8,COMPLETE
19,19,-5402.5263671875,2022-11-17 21:48:33.732391,2022-11-17 22:02:40.552590,0 days 00:14:06.820199,<class 'torch.nn.modules.activation.ReLU'>,64,10000,0.999,0.004924488102195667,medium,0.7371125426648719,normal,0.01,256,PRUNED
20,20,-13541.62890625,2022-11-17 22:02:40.560631,2022-11-17 22:19:17.284143,0 days 00:16:36.723512,<class 'torch.nn.modules.activation.LeakyReLU'>,512,1000000,0.999,0.03299615662207096,big,0.5350991488365027,ornstein-uhlenbeck,0.01,512,PRUNED
21,21,2403.81005859375,2022-11-17 22:19:17.284143,2022-11-17 23:51:59.248827,0 days 01:32:41.964684,<class 'torch.nn.modules.activation.Tanh'>,2048,1000000,0.9999,0.08423677326014753,small,0.7593680759146573,ornstein-uhlenbeck,0.02,64,COMPLETE
22,22,-113.96279907226562,2022-11-17 23:51:59.248827,2022-11-18 00:06:26.723223,0 days 00:14:27.474396,<class 'torch.nn.modules.activation.Tanh'>,1024,1000000,0.9999,0.06319328687701678,small,0.8014074626789007,ornstein-uhlenbeck,0.02,16,PRUNED
23,23,1347.5989990234375,2022-11-18 00:06:26.723223,2022-11-18 01:28:13.738901,0 days 01:21:47.015678,<class 'torch.nn.modules.activation.Tanh'>,32,1000000,0.9999,0.0006853168623883987,small,0.3823469324910844,ornstein-uhlenbeck,0.02,64,COMPLETE
24,24,-670.28759765625,2022-11-18 01:28:13.740933,2022-11-18 01:43:50.367631,0 days 00:15:36.626698,<class 'torch.nn.modules.activation.LeakyReLU'>,2048,1000000,0.9999,6.871731809109117e-05,small,0.49089813505684315,ornstein-uhlenbeck,0.05,128,PRUNED
25,25,-2555.64501953125,2022-11-18 01:43:50.367631,2022-11-18 01:57:42.800317,0 days 00:13:52.432686,<class 'torch.nn.modules.activation.Tanh'>,16,1000000,0.95,0.003256416520330681,small,0.2578634769307526,ornstein-uhlenbeck,0.001,32,PRUNED
26,26,440.4515380859375,2022-11-18 01:57:42.800317,2022-11-18 02:14:43.148087,0 days 00:17:00.347770,<class 'torch.nn.modules.activation.ELU'>,256,1000000,0.99,0.0001881364801469951,big,0.5360022121061853,ornstein-uhlenbeck,0.005,4,PRUNED
27,27,-3296.67138671875,2022-11-18 02:14:43.156130,2022-11-18 02:29:58.205384,0 days 00:15:15.049254,<class 'torch.nn.modules.activation.ReLU'>,2048,100000,0.995,0.08788895072615482,small,0.8302365004844398,,0.08,32,PRUNED
28,28,-3254.5986328125,2022-11-18 02:29:58.205384,2022-11-18 02:43:56.362947,0 days 00:13:58.157563,<class 'torch.nn.modules.activation.LeakyReLU'>,16,10000,0.9,0.44196722672351885,medium,0.14302738303900386,ornstein-uhlenbeck,0.02,64,PRUNED
29,29,592.028564453125,2022-11-18 02:43:56.364985,2022-11-18 02:58:57.077965,0 days 00:15:00.712980,<class 'torch.nn.modules.activation.Tanh'>,256,1000000,0.9999,3.212011440135614e-05,big,0.693953431856861,normal,0.02,4,PRUNED
30,30,246.71267700195312,2022-11-18 02:58:57.079999,2022-11-18 03:14:24.119853,0 days 00:15:27.039854,<class 'torch.nn.modules.activation.Tanh'>,2048,1000000,0.98,0.00895068164519979,small,0.40320439286803594,ornstein-uhlenbeck,0.01,16,PRUNED
31,31,-2636.318359375,2022-11-18 03:14:24.119853,2022-11-18 03:27:57.875956,0 days 00:13:33.756103,<class 'torch.nn.modules.activation.Tanh'>,32,1000000,0.9999,0.21350281685746306,small,0.6328173003830556,ornstein-uhlenbeck,0.02,64,PRUNED
32,32,-8624.2626953125,2022-11-18 03:27:57.875956,2022-11-18 03:43:23.093175,0 days 00:15:25.217219,<class 'torch.nn.modules.activation.Tanh'>,2048,1000000,0.9999,0.19313647112117452,small,0.6273761758443107,ornstein-uhlenbeck,0.02,1,PRUNED
33,33,-4421.70703125,2022-11-18 03:43:23.093175,2022-11-18 03:57:12.739211,0 days 00:13:49.646036,<class 'torch.nn.modules.activation.Tanh'>,100,100000,0.9999,0.0721757350669822,small,0.8416208102238973,ornstein-uhlenbeck,0.02,64,PRUNED
34,34,-8837.46484375,2022-11-18 03:57:12.739211,2022-11-18 04:12:36.333702,0 days 00:15:23.594491,<class 'torch.nn.modules.activation.LeakyReLU'>,2048,1000000,0.9999,0.5256511280120828,small,0.5763363132147699,,0.001,512,PRUNED
35,35,2305.55908203125,2022-11-18 04:12:36.333702,2022-11-18 05:34:26.240129,0 days 01:21:49.906427,<class 'torch.nn.modules.activation.Tanh'>,64,1000000,0.99,0.02054470128784433,small,0.6722304914652526,ornstein-uhlenbeck,0.02,64,COMPLETE
36,36,2624.822265625,2022-11-18 05:34:26.240129,2022-11-18 06:56:53.842807,0 days 01:22:27.602678,<class 'torch.nn.modules.activation.Tanh'>,64,1000000,0.99,0.02385703835516289,small,0.6954997107163206,ornstein-uhlenbeck,0.02,64,COMPLETE
37,37,210.6030731201172,2022-11-18 06:56:53.844853,2022-11-18 07:10:33.008555,0 days 00:13:39.163702,<class 'torch.nn.modules.activation.Tanh'>,64,10000,0.99,0.020444111035298043,small,0.7132446036381797,ornstein-uhlenbeck,0.02,64,PRUNED
