train/actor_loss,time/episodes,train/n_updates,time/fps,time/total_timesteps,train/critic_loss,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,rollout/ep_len_mean
-216.45158910751343,4,640,28,768,204.05239486694336,27,47.16935,0.0018832140971657787,96.0
,8,,28,768,,27,47.16935,,96.0
-347.1998109817505,12,1408,27,1536,465.9100823402405,56,107.16929,0.0018832140971657787,96.0
,16,,27,1536,,56,107.16929,,96.0
-555.6558227539062,20,2176,27,2304,325.75633907318115,85,162.43251,0.0018832140971657787,96.0
,24,,27,2304,,85,162.43251,,96.0
-762.7956924438477,28,2944,26,3072,392.82262134552,113,492.636,0.0018832140971657787,96.0
,32,,26,3072,,113,492.636,,96.0
-984.0451183319092,36,3712,26,3840,641.8658747673035,142,757.28766,0.0018832140971657787,96.0
,40,,26,3840,,142,757.28766,,96.0
-1168.3243713378906,44,4480,26,4608,827.5502109527588,171,941.59796,0.0018832140971657787,96.0
,48,,26,4608,,171,941.59796,,96.0
-1426.8707313537598,52,5248,26,5376,1297.2483339309692,200,1125.9186,0.0018832140971657787,96.0
,56,,26,5376,,200,1125.9186,,96.0
-1585.8639793395996,60,6016,26,6144,1883.4940719604492,228,1242.8914,0.0018832140971657787,96.0
,64,,26,6144,,228,1242.8914,,96.0
-1514.8516731262207,68,6784,26,6912,2886.0156288146973,257,1306.4366,0.0018832140971657787,96.0
,72,,26,6912,,257,1306.4366,,96.0
-1476.564826965332,76,7552,26,7680,2540.125650405884,286,1374.1464,0.0018832140971657787,96.0
,80,,26,7680,,286,1374.1464,,96.0
-1361.7181968688965,84,8320,26,8448,3069.2570457458496,315,1431.4429,0.0018832140971657787,96.0
,88,,26,8448,,315,1431.4429,,96.0
-1275.557991027832,92,9088,26,9216,2861.612476348877,345,1482.714,0.0018832140971657787,96.0
,96,,26,9216,,345,1482.714,,96.0
-1146.0405654907227,100,9856,26,9984,2871.68115234375,374,1584.831,0.0018832140971657787,96.0
,104,,26,9984,,374,1584.831,,96.0
-1032.6823978424072,108,10624,26,10752,2440.1467933654785,404,1731.7936,0.0018832140971657787,96.0
,112,,26,10752,,404,1731.7936,,96.0
-924.94460105896,116,11392,26,11520,2250.309804916382,434,1885.1189,0.0018832140971657787,96.0
,120,,26,11520,,434,1885.1189,,96.0
-842.4556217193604,124,12160,26,12288,1999.5501861572266,464,1996.0776,0.0018832140971657787,96.0
,128,,26,12288,,464,1996.0776,,96.0
-772.6696186065674,132,12928,26,13056,1980.702974319458,492,2047.9409,0.0018832140971657787,96.0
,136,,26,13056,,492,2047.9409,,96.0
-725.8660125732422,140,13696,26,13824,1686.1387748718262,521,2084.871,0.0018832140971657787,96.0
,144,,26,13824,,521,2084.871,,96.0
-733.0201091766357,148,14464,26,14592,1643.543601989746,550,2112.2114,0.0018832140971657787,96.0
,152,,26,14592,,550,2112.2114,,96.0
-735.0181846618652,156,15232,26,15360,1626.5797653198242,578,2123.5945,0.0018832140971657787,96.0
,160,,26,15360,,578,2123.5945,,96.0
-773.5691547393799,164,16000,26,16128,1795.9179153442383,607,2154.3372,0.0018832140971657787,96.0
,168,,26,16128,,607,2154.3372,,96.0
-808.7913436889648,172,16768,26,16896,1792.7836933135986,636,2189.4766,0.0018832140971657787,96.0
,176,,26,16896,,636,2189.4766,,96.0
-830.0322074890137,180,17536,26,17664,1845.899600982666,664,2222.8748,0.0018832140971657787,96.0
,184,,26,17664,,664,2222.8748,,96.0
-846.4909000396729,188,18304,26,18432,1846.8534889221191,693,2244.847,0.0018832140971657787,96.0
,192,,26,18432,,693,2244.847,,96.0
-840.035120010376,196,19072,26,19200,1995.1555633544922,722,2274.9797,0.0018832140971657787,96.0
,200,,26,19200,,722,2274.9797,,96.0
-825.0285892486572,204,19840,26,19968,1867.8444137573242,752,2291.3135,0.0018832140971657787,96.0
,208,,26,19968,,752,2291.3135,,96.0
-811.4735469818115,212,20608,26,20736,1985.9336395263672,782,2306.026,0.0018832140971657787,96.0
,216,,26,20736,,782,2306.026,,96.0
-785.4138698577881,220,21376,26,21504,2051.2009239196777,811,2320.179,0.0018832140971657787,96.0
,224,,26,21504,,811,2320.179,,96.0
-756.6949291229248,228,22144,26,22272,1874.340383529663,840,2318.661,0.0018832140971657787,96.0
